id,text,category
1419792634130976778,A todos los que tengais la bandera #LGTBI ultra mega super guay en Twitter . No nos importa y no queremos saberlo tampoco.,NHS
1419780029253292032,Feliz q @suselparedes no haya podido asumir como miembro de mesa directiva de congreso. Una traición tan grande a la comunidad #LGTBI+ no puede ser premiada de esa forma. Aliarse con un movimiento homofóbico sin duda alguna solo es hambre de poder. El partido morado ahora es rojo,NHS
1419721256182718465,"@ierrejon Ante el avance social por los derechos #LGTBI los intolerantes solo saben vomitar estupideces, rabia y odio. Muy típico del facherio. Yo también me alegro que Cristofer Benítez no sea ruso, porque allí su pasión y dedicación estaría silenciadas o entre rejas. #StopHomofobia",HS
1419633399019589634,"@CurroTroya Abascal. Un político fanfarrón y embustero que no hizo el servicio militar, haciendo postureos militares tan falsos como su palabrería. Debería estudiar un poco de historia militar para descubrir a bravos soldados que amaban a otros hombres. #LGTBI ",HS
1419427171341381635,"#DragRaceFinal

Una corona #LGTBI 🏳️‍🌈 sólo podía recaer en alguien tolerante con la gestación subrogada.

Felicidades a @CarmenFarala ✌

En cambio, a la subrófoba @iamthekillerq: 
mejor si dejas de pretender ser icono #gsLGTBI

Ciao pescao",HS
1419284722811875328,"@marcoasensio10  se convierte en el primer jugador transexual en dar una asistencia en los JJOO. Enhorabuena!
#Tokyo2020 #LGTBI",HS
1419239078755815425,"Contra la #homofobia: el colectivo #LGTBI planta cara al odio.
Miles de personas han salido a las calles para protestar contra la #homotransfobia tras una serie de agresiones de desmedida violencia. 
#YositecreoLGTBIQ #StopHomofobia #StopTranfobia",HS
1419239008572411907,"@AnaLocking @CarmenFarala @iamthekillerq @itsagittaria @DragRaceEs @ATRESplayer @wowpresentsplus @BuendiaEstudios @atresmediacom @WorldOfWonder Enhorabuena, excelente jueza, Ana! Divertida, muy asertiva con el drag y aportando con maestría también desde tu disciplina, un gran valor parte de la comunidad #LGTBI 💜💃💅✨",HS
1419217282262343681,@Santi_ABASCAL Lo mismo que haces tú con los colectivos #LGTBI y con los inmigrantes. Así que a chuparla,NHS
1419059263301951493,"Personalmente me hubiera gustado que alguna de esas candidaturas estuvieran en puestos más de salida. Que consigan bancas.
Otras candidaturas #LGTBI que sí tienen asegurada banca podrían hacerse más visibles y ayudar a muchas personas que aún sufren sus armarios.

Y ya me calmo.",HS
1419056646815354880,"Pedíamos candidaturas #LGTBI y hay candidaturas #LGTBI 
Algunas más visibles que otras, algunas de la gestión y la política partidaria, algunas de la militancia y el activismo. Las hay en las dos fuerzas principales y en el FIT.

En las demás listas “te la debo” (decía uno).",HS
1419028401004949505,"Mucho cuidado si eres #LGTBI o negro #blackismatter o latino
Por que la #policiamadrileña te hace control con perros por ""tener pintas raras"" esto ocurrió el jueves a la entrada del #acuopolis delante de un niño de 13 años.",NHS
1419009278682320902,"@Amanda_Martin13 Que son tonterías que se inventan. 
Las mujeres sabemos lo que es ser desfavorecidas en la sociedad y nos entendemos muy bien con las personas #LGTBI",HS
1418612612175106051,"@serrano_camen Que podrían revisarse los criterios y cambiar cosas, OK. Peticiones al COI...  Pero lo que no se puede consentir son las amenazas, insultos y el #bullying gratuito que esta sufriendo ella y otra gente #LGTBI La falta de respeto y empatía es lo que me duele más de toda esto",HS
1418518468681478148,"El @psn_valle_egues Reclaman políticas #LGTBI al equipo de gobierno del Valle de Egüés así como tb solicitamos en pleno y en comisiones q se pintasen bancos con los colores del arcoíris para visibilizar a todas las personas LGTB
¡Ayudemos a impulsar  el respeto ! @Sarrigurenweb",HS
1418361891978682370,"@Peach_Hard91 @telecincoes Esq la siguiente será como la de franco/abascal
Solo habido unos años de ""fantasia"" de 2000 a 2017
De los 2021 años el 95% del tiempo   habido ese odio a los #lgtbi
Ya ni hablamos d los millones d años antes del año0 ""antes d cristo"" donde nos quemaban vivos 
#justiciaparasamuel",NHS
1418305009683517450,"@guillemclua El día que os maten al grito de ""hetero muerto abono pa mi huerto"" 
2 doce de personas #lgtbi o más bien 1 docena de trastornados mentales
Ese día yo misma apoyaría el #Orgullohetero
Mientras tanto los q deciis eso no os disferencias apenas  a los asesinos de #justiciaparasamuel",NHS
1418020019171123207,"derecho q amplía y visibiliza todas las formas de vida q se desarrollan fuera del binario  masculino/femenino
Nuestros nombres, nuestras identidades y nuestras formas de vida son nuestros derechos!

#lgtbi #diversidad #dni #identidaddegenero  #nobinaries #derecho #cha",HS
1417986747598782476,"El Senado de #Chile aprobó el proyecto de ley para legalizar el matrimonio igualitario, una demanda histórica del movimiento #LGTBI que aún debe sortear en las próximas semanas otra votación en la Cámara de Diputados para su entrada en vigor.",HS
1417964025665687554,"@Villarrubia_67 No hablo de 1 guerra como la de nuestros abuelos
Pero llegado aesos extremos los millones de #lgtbi lejos de irnos temblando debajo de la cama tendríamos q tomarnos la justicia por nuestra cuenta
Para q llore mi madre que llore la del  facha de #VoxEsImparable",NHS
1417848952200781835,"Lo de pegarle a alguien por ser homosexual? Que coño importa su orientación sexual mientras sea una buena persona? Vaya plan.

#TodoEsMentira #TodoEsMentira21J #Agresión #LGTBI",HS
1417628745574268931,"@luli1377197098 @PensamientosBP @Nieves__AT @Karlita_SinMas @makarawarr7 #justiciaparasamuel
Dejar claro q sigo orgullosa de ser quien soy de ser Ana de ser #trans
Pero me veo obligada a ocultarme sin poner la bandera #lgtbi aún así la líder que está detrás de mi #ciberacoso @nieves__AT quien sube desde hace 1 año material propiedad de @mediasetcom",HS
1417619488326000642,"@luli1377197098 @PensamientosBP @Nieves__AT @Karlita_SinMas @makarawarr7 Tal ha sido el #ciberacoso que tuve que quitar mi foto real (todas esas cobardes usan fotos falsas o imágenes) eliminar mi bandera #lgtbi solo para intentar frenar la sangría de denuncias diarias a mi cuenta y aun así no lograron q me la eliminarán
#APOYOROCIO20J",NHS
1417232047014359052,"@elespectador Bueno este grupo CRN  el cual no debería de existir, por favor estamos en pleno siglo XXI, que el pasado deje una enseñanza de lo que no se debe volver a repetir, más tolerancia, equidad, respeto por todas y todos, no más grupos basura como este CRN. #LGTBI",HS
1417143349245628417,"@zapeandola6 
Surrealista que tras el resumen de @DragRaceEs , programa que no conocía (hasta hoy) venga ""quiero ir a Turquía"" donde los derechos #LGTBI son.... escasos (por decirlo suavemente). Cuanta hipocresía en la tele. Ya recuerdo por qué no la suelo poner.",NHS
1417094955063988227,Las #agresioneshomófobas no han dejado de darse. No existía ese mundo de Oz en el que nada ocurría. La única diferencia es que ahora se está denunciando y exponiendo en redes. Que no se haya querido ver hasta ahora no quiere decir que no se estuviera agrediendo a personas #LGTBI,NHS
1417058161618468873,"Todo eso, el mismo día en el que se ha dado a conocer la encuesta que dice que su odio contra la #LeyTrans y la Ley #LGTBI+ es residual en el conjunto de la sociedad y absolutamente anecdótico entre el electorado de los partidos que integran el Gobierno.",NHS
1417028313428672512,"@LaHoraTVE @begonavillacis Te mola la orina #Lgtbi?...
Porque marchas con ellos siempre, aunque os lancen orina.",NHS
1416886249999282176,"@IsaMutluluk Yo soy hetero y también transmito ese mensaje, la gran mayoría de los heterosexuales también lo hacen, la normalidad comenzará el día que el el colectivo #LGTBI tenga claro que gran parte de la sociedad está a su lado, y la única solución es ignorar a 4 trogloditas.",HS
1416871411965104129,"Gran gesto de @mediasetcom por emitir ahora en pleno prime time #ConAmorSimon #LoveSimon.
A ver si empiezan entender por qué muchas personas #lgtbi no se atreven a salir del armario con la familia.

Ojalá más cine y visibilidad #LGTBIQ en la tele.",HS
1416851210796142602,"Hoy, @telecincoes emite #ConAmorSimon.
Para una vez que un canal generalista, emite contenido #LGTBI que trata el tema con respeto, y no en plan burla. Hay que verlo y apoyarlo.
Ojalá tenga una audiencia brutal y empecemos a ver películas como #MiNombreEsHarveyMilk en prime time.",HS
1416794625248047105,"@_mmanrique @Otto_Mas @lolosaurez @ElCazadorTVE Si nuestra vida se dibujara en Tweets todos tendríamos algún Tweet que no reflejaría lo que en realidad somos, para bien y para mal. 
Insisto, creo que esa intervención en el programa en defensa del colectivo #LGTBI+ le hace grande y lo más importante SUMA!",HS
1416741367657676802,@mdaswani Quiero pensar que es un giño al colectivo #LGTBIQ #LGTBI ya que en muchos campos muchas empresas homofobas se niegan a reconocer que muchos jugadores son homosexuales y en Canarias con lo ‘supuesta’ libertad hipócrita hay mucha homofobia.. conozco gente que lo oculta por miedo..,NHS
1416669897644462081,"Esta mañana, en una cafetería en pleno centro de València, ha entrado un chico pidiendo. Uno de los clientes le ha increpado ""maricón"" porque el chico llevaba una mascarilla con la bandera #LGTBI 👇",NHS
1416430580187766784,"""Nunca permitiremos estigmatizar a parte de nuesra sociedad"", sostuvo la 🇪🇺UE, y emplazó a 🇭🇺Hungría y a 🇵🇱Polonia a revisar sus medidas contra las personas #LGTBI en dos meses, para evitar un siguiente paso hacia el Tribunal de Justicia y sanciones financieras.",HS
1416251644749258752,Todo mi apoyo 👏👏👏 a @AliciaVRubio y a su valiente discurso contra la ley #LGTBI de la @ComunidadMadrid,NHS
1416079301791846407,"... los HIJOS de los demás; los de ellas: ni con el pétalo de una rosa. Y de paso que la secta #LGTBI imparta clases de Sexualismo y otras aberraciones sexuales como la PEDOFILIA en las guarderías, escuelas y colegios.

¿Por qué tanta Maldad contra nuestros Niños, Niñas y...",NHS
1415952785758167047,"Esto de ir atacando personas con capacidades distintas,de colectivo #lgtbi,sin techo u otro colectivos vulnerables,es una moda de ahora o es que se están criando demasiados cabrones?Porqué no lo entiendo.Hasta las narices de los padres que les ríen las putas gracietas a sus hijxs",NHS
1415927167377096714,"Hetero de mierda.Que asco me dan los heteros.Hetero tenias que ser.Vete a tu sitio heterito.Alguien lo imagina? Pues ahora sustituye hetero por negro, mujer, maricon, moro, feminista o lesbiana, al gusto.  
#feminismo #LGTBI #Orgullo #BuenosDias #FelizViernes #FelizViernesATodos",NHS
1415712987822895114,"Señores que la ley #LGTBI que señala la UE no es política de controlar a Hungría y Polonia, son derechos y libertades fundamentales hacia esas personas que son de carne y hueso como nosotros. No seamos del pensamiento del Brexit para ocultar la homofobia.",HS
1415697259707174928,"@TardeLoQueTarde @ongrescate @JuliaVarela__ @rne Esta 👇situación que viven millones de personas en el mundo es muy grave, preocupante e inhumana #gènero #LGTBI",HS
1415634747611566080,Queremos felicitar a @GALACTYCOCT en su 13 aniversario. 13 años de defensa y lucha por los derechos #LGTBI . Felicidades!! Esperamos poder luchar muchos años más a vuestro lado!! 🏳️‍🌈🏳️‍⚧️,HS
1415527906332323841,Donde estan los del #LGTBI SALIENDO A LA CALLE A FAVOR DE LA LIBERACIÓN DE CUBA?? DONDE ESTA EL BLACKMATTER O COMO SE LLAMEN??,NHS
1415526561604939779,"Depilarse, cremas, comer ensaladas…para eso ya tienen el 28 de junio”. Y si aunque su tono fue a divertido no tenia gracia. Hay tanto que cambiar aún, no todo esta hecho😔
#LGTBI 
#micromachismo",NHS
1415441846977933313,"@vicgondor @PabloEchenique @J_Sanchez_Serna A ver si te vas a vivir a cuba como yo he vivido y aun siendo extranjera por defender los derechos #LGTBI  he sido detenida.
#SOSCubaLibre #SOSMatanzasCuba #CubaEsUnaDictadura",NHS
1415399903883317250,"La verdad es que nunca había considerado que sufriera acoso o, al menos, nunca había sido capaz de reconocerlo. En pleno siglo XXI, me lanzo a escribir algunas reflexiones, no desde el rencor, sino para intentar hacer entender algunas cosas (hilo) #LGTBI #LGTBIfobia #homofobia",HS
1415381783374405640,"Me ha contado el proceso que su hijo había pasado, con total naturalidad. 
Como si me estuviera contando que jugó el otro día un partido de fútbol. 
Con los días que estamos pasando en la comunidad #LGTBI, hechos como estos me dan fuerza para seguir luchando.",HS
1415315120247427077,"Innumerables agresiones las últimas semanas (aparte del asesinato de Samuel) a gente #LGTBI en España.
Pero hay gente a la parece que solo le importa lo que pasa en Cuba viendo Twitter.

¿Las víctimas de allí importan más que las de aquí o cómo es la cosa?",NHS
1415228389678538752,"@elmundoes Ostie!! ¿Cómo se le ocurre deslumbrar de esa manera al pobre xiquet?, pos claro, no le quedaba otra que matar a #Samuel .... otra denuncia os merecéis vosotros por redactar noticias como esta. #SamuelLuiz #Samuelsomostodos #LGTBIfobia #LGTBI #LGTBIQ #nomascrimenesdeodio",NHS
1415187899339968512,"@CarlaAntonelli @eldiarioes Siempre los mismos pretextos.
Siempre les mismes muertes.
Siempre las mismas heridas.
Siempre los mismos machistas.
Siempre el mismo patriarcado.
Siempre el mismo capitalismo.
Siempre el mismo racismo.
Siempre las mujeres.
Siempre las personas #trans.
Siempre las personas #LGTBI.",NHS
1415179653816463360,"@CarlaAntonelli @elisabeni La #transfobia nunca fue #feminismo. El odio a las personas #trans siempre tuvo un claro componente de #LGTBIfobia.

Mujeres y comunidad #LGTBI+ compartimos enemigos: #machismo, ignorancia, #patriarcado #cis y #hetero, normatividad corporal, capitalismo, #racismo y aporofobia.",HS
1414973220533506048,"@ERRebeENE Después de @rocioseguirviva y @DragRaceEs me siento en absoluta sintonía con el #feminismo y con el colectivo #LGTBI ,ahora más k nunca. Perro no come perro.",HS
1414919290575261698,Espero de corazón que se convierta en una herramienta para la la lucha por la igualdad en el deporte de las mujeres y el colectivo #LGTBI ¡Feliz de publicar con un equipo tan comprometido y lleno de talento! 🏳️‍🌈🙌,HS
1414904673149112322,"Desde Grupo ASG rechazamos de forma tajante la ola de violencia hacia el colectivo #LGTBI+.
QUEDARSE CALLADO ES SER PARTE DEL PROBLEMA.",HS
1414885581897838607,"@LavinJoaquin a que estas jugando?  ""No al Aborto No al Matrimonio Igualitario"" La  tendencia mundial va en el avance de estas dos realidades. Yo discrepo en algunos puntos, pero existe y hay que permitirlo aceptarlo y regularlo. 
#LGTBI #AbortoLegal #Elecciones2021",HS
1414616727938289666,"@AniortePepe Lo importante es el trabajo que hacéis día a día desde tu Área por el colectivo #LGTBI y en especial por las #FamiliasLGTBI.
Así demostramos que #MadridCiudadDeLasFamilias. De todas las familias 👏🏻👏🏻👏🏻👏🏻",HS
1414607720120979459,"Si haces chistes sobre la manifestación del orgullo #LGTBI  , o públicas memes de burla , no digas que eres Progresista ni Socialista y si me apuras ni tan siquiera persona , eres una puta mierda de ser humano.
Y no pongáis cartelitos de apoyo a Samuel , hipócritas de mierda.",NHS
1414550405653180416,"@diversitat @publico_es @CompromisLGTB @FuenlaEntiende @defrentelgtb @UgtMarina @ccoopv @UGTPV @CCOOAM @CLGS_SAFOR Como la moda de repetir insistentemente las palabras “Lobby #LGTBI “ como si fuésemos empresas cuando la gran mayoría somos #ong sin ánimo de lucro, y el principal fin es proteger al colectivo y trabajar por los #DDHH y normalizar, algo de lo que queda mucho camino.",HS
1414539098988163076,#HomofobiaARV El aumento de agresiones a gente #LGTBI es proporcional al crecimiento de @vox_es en España. Hay mensajes de odio y esta es su expresión en la calle. #StopLGTBIfobia #NoNazis #12julio,NHS
1414536978708717569,"@AetTransexualia @PlataformaTrans @RedOrgullosos @McIntolerancia @CarlaAntonelli @MasMadridLGTBI @Cs_LGTBI_Mad @FuenlaEntiende @lgtbipol @Respeta__ 👏🏼👏🏼 cuando la víctima o grupo tenga pertenencia, apoyo o simpatía real o percibida a grupos marcados por la #OSCE, que ante todo se refiere a grupos vulnerables, como nuestro colectivo #LGTBI, entre otros",NHS
1414529357624795138,@enjakeETB ¿Quien me puede explicar que tiene que ver el desgraciado crimen de Samuel en A Coruña con la #homofobia y la #LGTBI?,NHS
1414511517165395968,"Vaya por delante mi creencia en el delito de odio que han cometido por ser #LGTBI pero además creo que es un problema mayor incluso. ¿Ahora resulta q la diversión es emborracharse y de paso darle una paliza a alguien? Ya vamos decidiendo el porqué, unos homófonos, otros racistas",NHS
1414511334251716610,"Y finalizo:
Se están promoviendo discursos de odio contra el colectivo #LGTBI, esos discursos son caldo de cultivo para agresiones homófobas. Los responsables de esto son la derecha política y mediática de la que V🤮X es el máximo exponente.
#JusticiaParaSamuel
#XustizaParaSamuel",NHS
1414431119412506625,"El Candidato ""feminista"" @danieljadue pierde el control constantemente con las periodistas mujeres... Además le dicen en su propia cara que los comunistas en cuba atacan a las agrupaciones #LGTBI  la historia los juzgará.",NHS
1414357009739173891,Hoy no he podido estar en Madrid manifestándome. Pero espero que hayáis sido muches y que hayáis llenados las calles de colores #LGTBI. Nos veremos en la próxima. #StopLGTBIQfobia #StopHomofobia #JusticiaParaSamuel #XustizaParaSamuel,HS
1414312213511385091,"@Alvisepf @joseramirezdel2 Y los energúmenos del #LGTBI con pancartas como siempre obviando la verdad,sacando partido de la desgracia ajena. DEP",NHS
1414297324885626884,"No sois feministas, sois transfobas. Habláis de misoginia cuando vosotras la ejerceis porque una mujer tiene pene o esta operada. Es una mujer, me da igual lo que digan #LGTBI #Transfobia #TERFs",NHS
1414284993594019843,"@Pildora_II @veintimillapier Una ínfima parte del asqueroso y bastardo negocio que tienen montado los lobbies #feminista y #LGTBI, sustentado por un inútil ministerio que reparte, a discreción, + de 400 M€'s.",NHS
1414263566111232005,@Rafa_Hernando @marianorajoy @sanchezcastejon Ustedes están blanqueando el #fascismo y apoyando la #homofobia  ¿Es usted homófobo? ¿Está usted de acuerdo con la discriminación al colectivo #LGTBI en Hungría que apoyó su partido?,NHS
